Date,Open,High,Low,Close,Volume,Adj Close
2013-12-02,39.10,41.85,37.68,40.87,26619300,39.83
2013-11-01,37.17,39.18,35.91,38.73,22058900,37.74
2013-10-01,36.04,37.99,33.92,36.95,19282900,36.01
2013-09-03,34.68,37.97,33.96,35.97,18450200,35.05
2013-08-01,36.39,37.18,33.50,34.08,11750000,33.21
2013-07-01,33.52,37.71,33.41,35.87,12857200,34.95
2013-06-03,34.57,35.49,31.13,33.31,20533200,32.46
2013-05-01,30.77,34.91,30.11,33.89,12847500,33.02
2013-04-01,27.65,30.97,27.11,30.84,12143500,30.05
2013-03-01,26.83,29.30,26.75,27.82,11177300,27.11
2013-02-01,28.39,29.36,26.19,27.15,10630700,26.46
2013-01-02,29.41,30.68,26.62,28.09,12355000,27.37
2012-12-03,26.06,28.90,24.40,28.83,11844400,28.09
2012-11-01,25.53,26.27,23.39,25.88,8352600,25.22
2012-10-01,23.00,25.72,22.67,25.50,10842000,24.85
2012-09-04,21.25,25.15,21.02,22.75,9602900,22.17
2012-08-01,19.78,22.14,18.93,21.35,8200700,20.81
2012-07-02,19.70,21.21,18.72,19.71,8009200,19.21
2012-06-01,21.65,23.34,19.24,19.72,9630800,19.22
2012-05-01,23.04,23.48,21.09,22.20,9841500,21.63
2012-04-02,26.03,27.03,22.80,23.00,10668900,22.41
2012-03-01,26.19,26.80,24.38,25.65,8242900,25.00
2012-02-01,24.33,27.68,24.07,26.02,13708000,25.36
2012-01-03,20.83,25.50,20.75,24.02,12789300,23.41
2011-12-01,21.24,22.11,19.00,20.27,10144100,19.75
2011-11-01,24.82,25.17,20.06,21.29,13773200,20.75
2011-10-03,20.13,26.55,19.05,25.85,13708700,25.19
2011-09-01,24.09,24.25,19.77,20.18,12183100,19.66
2011-08-01,28.88,28.88,21.18,24.03,19852300,23.42
2011-07-01,30.35,32.08,27.31,27.68,11583300,26.97
2011-06-01,31.70,31.70,28.17,30.36,17108300,29.59
2011-05-02,32.41,33.47,30.50,31.81,14192000,31.00
2011-04-01,31.39,33.28,29.17,32.09,15919200,31.27
2011-03-01,33.69,33.75,30.20,31.03,16216800,30.24
2011-02-01,36.93,37.23,32.05,33.53,17258600,32.67
2011-01-03,37.32,39.48,35.89,36.49,18372700,35.56
2010-12-01,34.65,36.98,33.19,36.86,17204300,35.92
2010-11-18,35.00,35.99,33.07,34.20,101734600,33.33
