Date,Open,High,Low,Close,Volume,Adj Close
2013-12-02,57.10,58.55,55.40,58.48,16249300,56.95
2013-11-01,51.45,58.14,51.30,57.22,18652000,55.72
2013-10-01,51.64,54.85,50.25,51.54,22000100,50.19
2013-09-03,51.25,53.93,50.06,51.69,22811000,49.97
2013-08-01,56.36,56.78,50.13,50.53,16349700,48.85
2013-07-01,53.22,56.93,52.12,55.73,19727600,53.88
2013-06-03,54.60,55.39,50.11,52.79,22923600,50.66
2013-05-01,48.76,55.90,46.98,54.59,26127900,52.39
2013-04-01,47.55,49.63,46.05,49.01,22874300,47.04
2013-03-01,48.60,51.00,47.28,47.46,26341900,45.27
2013-02-01,47.40,49.68,46.85,48.92,25005700,46.66
2013-01-02,44.98,47.35,44.20,47.05,25817200,44.88
2012-12-03,41.27,44.54,40.20,43.97,24265200,41.65
2012-11-01,41.70,43.07,38.83,41.08,23220800,38.91
2012-10-01,40.88,43.54,40.42,41.68,25589900,39.48
2012-09-04,36.98,42.09,36.78,40.48,26693500,38.06
2012-08-01,36.19,38.86,34.76,37.14,21082900,34.92
2012-07-02,36.27,37.20,33.10,36.00,39743600,33.85
2012-06-01,32.41,37.03,30.83,35.73,51906000,33.32
2012-05-01,43.00,44.24,32.26,33.15,60746700,30.91
2012-04-02,45.75,46.35,41.80,42.98,32037100,40.08
2012-03-01,39.51,46.49,39.12,45.98,38481700,42.60
2012-02-01,37.89,39.94,37.05,39.24,30325900,36.36
2012-01-03,34.06,38.10,34.01,37.30,37590700,34.56
2011-12-01,30.86,34.19,30.03,33.25,39824000,30.59
2011-11-01,32.47,35.18,28.28,30.97,42754500,28.49
2011-10-03,30.03,37.54,27.85,34.76,52929900,31.97
2011-09-01,37.62,37.82,28.53,30.12,51162600,27.46
2011-08-01,41.16,41.37,32.31,37.56,53060700,34.25
2011-07-01,40.81,42.55,38.93,40.45,35224400,36.88
2011-06-01,42.87,42.99,39.24,40.94,37963600,37.10
2011-05-02,45.94,46.07,41.69,43.24,29295500,39.19
2011-04-01,46.55,47.80,43.53,45.63,30067900,41.35
2011-03-01,46.47,47.10,43.40,46.10,30781900,41.55
2011-02-01,45.20,48.36,44.30,46.69,32819500,42.09
2011-01-03,43.00,45.94,42.65,44.94,42552800,40.51
2010-12-01,37.95,43.12,37.65,42.42,30827200,38.19
2010-11-01,37.61,41.34,36.83,37.40,37815300,33.67
2010-10-01,38.34,40.72,36.21,37.63,46145300,33.88
2010-09-01,36.74,41.50,36.66,38.06,36763200,34.22
2010-08-02,40.98,41.70,35.55,36.36,34464200,32.69
2010-07-01,36.54,41.24,35.16,40.28,40895800,36.22
2010-06-01,39.32,39.96,36.51,36.61,45953900,32.87
2010-05-03,42.97,43.73,37.02,39.58,58929200,35.54
2010-04-01,45.03,48.20,42.23,42.58,47705200,38.24
2010-03-01,42.03,46.05,41.34,44.75,34546300,40.14
2010-02-01,39.10,42.31,37.03,41.97,49681900,37.65
2010-01-04,41.79,45.19,38.07,38.94,56985000,34.93
2009-12-01,42.61,43.09,40.04,41.67,35273800,37.33
2009-11-02,42.18,44.99,40.75,42.49,34144700,38.07
2009-10-01,43.40,47.47,40.53,41.77,41631800,37.42
2009-09-01,43.08,46.50,40.75,43.82,35768700,39.21
2009-08-03,39.12,44.24,38.99,43.46,42084800,38.89
2009-07-01,34.27,39.47,31.59,38.65,51023000,34.58
2009-06-01,37.40,37.73,32.18,34.11,66293200,30.48
