Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,37.78,38.77,36.49,36.90,16718700,36.57
2013-12-02,35.37,38.34,33.22,38.26,22876200,37.80
2013-11-01,33.70,35.42,33.41,35.29,16766600,34.86
2013-10-01,33.20,33.95,32.00,33.50,19040400,33.10
2013-09-03,32.17,34.34,31.82,33.17,24002400,32.65
2013-08-01,32.62,33.65,31.56,31.86,16393800,31.36
2013-07-01,30.89,32.75,29.95,32.35,32089900,31.84
2013-06-03,33.85,34.75,29.86,30.71,37039400,30.11
2013-05-01,32.75,35.32,32.72,33.78,22669200,33.12
2013-04-01,32.36,33.95,31.67,32.78,26982100,32.14
2013-03-01,34.12,36.43,31.16,32.33,33186100,31.70
2013-02-01,35.87,36.31,34.06,34.24,19527400,33.58
2013-01-02,34.08,35.88,33.93,35.51,20048500,34.82
2012-12-03,32.37,34.35,31.31,33.32,26416100,32.67
2012-11-01,31.20,32.24,29.52,32.18,20652500,31.38
2012-10-01,31.71,32.09,30.31,31.08,24163600,30.31
2012-09-04,31.63,33.29,30.57,31.46,27412600,30.62
2012-08-01,30.34,32.30,29.74,31.65,18215300,30.80
2012-07-02,29.53,31.11,28.61,30.20,23874700,29.39
2012-06-01,25.98,29.71,25.84,29.70,32306800,28.85
2012-05-01,29.45,29.82,25.33,26.47,31039700,25.71
2012-04-02,29.12,29.70,28.04,29.40,27345600,28.55
2012-03-01,29.40,31.15,28.52,29.16,38452100,28.26
2012-02-01,28.48,29.54,27.92,29.25,29933100,28.35
2012-01-03,26.33,28.95,25.55,28.21,37716200,27.34
2011-12-01,31.40,32.24,24.91,25.65,36355400,24.81
2011-11-01,31.96,33.76,28.61,31.35,27224000,30.32
2011-10-03,28.59,33.81,27.00,32.77,33147900,31.69
2011-09-01,28.03,30.96,25.71,28.74,43949100,27.74
2011-08-01,30.97,31.21,24.72,28.07,49503800,27.09
2011-07-01,32.89,34.13,30.26,30.58,29916000,29.51
2011-06-01,34.23,34.30,30.65,32.91,32839500,31.71
2011-05-02,35.84,36.50,32.92,34.22,25785300,32.97
2011-04-01,33.70,36.05,33.08,35.96,31358000,34.65
2011-03-01,33.02,34.10,29.62,33.43,30741000,32.15
2011-02-01,32.17,33.71,31.64,32.90,22105800,31.64
2011-01-03,31.59,33.30,30.80,32.03,30149400,30.80
2010-12-01,27.54,32.27,27.41,31.30,27644500,30.05
2010-11-01,29.52,29.82,26.81,27.05,30727900,25.97
2010-10-01,27.18,29.71,26.89,29.38,37799400,28.21
2010-09-01,22.15,27.63,22.10,26.85,52486200,25.73
2010-08-02,23.87,24.59,21.66,21.84,25919500,20.93
2010-07-01,21.46,24.68,21.24,23.64,32882100,22.66
2010-06-01,22.42,23.66,21.30,21.46,30035100,20.52
2010-05-03,26.05,26.15,21.55,22.57,38640100,21.59
2010-04-01,25.78,26.63,25.19,25.87,27671500,24.74
2010-03-01,24.60,26.25,24.28,25.71,29746700,24.54
2010-02-01,23.36,24.98,22.83,24.65,31382600,23.53
2010-01-04,24.66,25.64,22.98,23.06,34440600,22.01
2009-12-01,22.16,25.11,21.62,24.53,28064500,23.37
2009-11-02,21.06,22.89,20.65,22.08,24626400,21.03
2009-10-01,20.73,22.49,20.10,21.10,38893500,20.10
2009-09-01,21.77,22.95,20.65,20.84,38365000,19.81
2009-08-03,22.32,22.61,21.03,21.88,26152900,20.79
2009-07-01,21.63,22.48,19.79,22.13,30095200,21.03
2009-06-01,19.75,21.75,19.47,21.42,38414600,20.31
2009-05-01,19.35,19.60,17.97,19.59,32385800,18.57
2009-04-01,17.86,20.28,17.73,19.34,39497500,18.33
2009-03-02,15.21,18.68,13.80,18.07,51070300,17.09
2009-02-02,16.60,18.09,15.41,15.54,37943700,14.69
2009-01-02,17.64,18.70,15.87,16.83,36309600,15.91
2008-12-01,15.71,18.16,15.17,17.73,41360700,16.76
2008-11-03,18.11,19.00,15.10,16.09,50414800,15.21
2008-10-01,20.19,20.54,15.28,18.29,61003100,17.29
2008-09-02,22.30,22.37,15.00,20.31,55723900,19.20
2008-08-01,21.58,23.62,21.14,21.93,29873900,20.74
2008-07-01,20.79,21.90,19.98,21.53,35638400,20.36
2008-06-02,22.77,23.57,20.97,21.00,39163400,19.86
2008-05-01,21.01,23.00,20.70,22.84,29967800,21.60
2008-04-01,19.91,22.28,19.72,20.85,36126700,19.72
2008-03-03,18.76,21.30,18.20,19.56,52899400,18.50
2008-02-01,20.78,20.78,18.18,18.80,45395400,17.78
2008-01-02,22.55,23.11,19.52,20.55,49550700,19.43
2007-12-03,20.23,23.31,19.68,22.58,37476500,21.35
2007-11-01,22.00,22.89,19.06,20.18,42855900,19.08
2007-10-01,21.64,23.00,20.51,22.17,32241100,20.96
2007-09-04,20.24,22.17,19.88,21.65,35436900,20.47
2007-08-01,18.93,20.48,18.81,20.28,30949300,19.18
2007-07-02,19.88,20.98,19.11,19.12,31664500,18.08
2007-06-01,19.45,20.06,18.72,19.71,37033700,18.64
2007-05-01,18.75,19.60,18.48,19.38,25981800,18.33
2007-04-02,18.08,19.29,17.99,18.80,27365800,17.78
2007-03-01,16.11,18.59,15.97,18.13,40563300,17.14
2007-02-01,17.22,17.44,16.00,16.43,40572500,15.54
2007-01-03,17.22,17.98,16.77,17.16,41110000,16.23
