Date,Open,High,Low,Close,Volume,Adj Close
2013-12-02,399.00,405.63,379.50,398.79,2746800,398.79
2013-11-01,365.63,394.10,341.88,393.62,2830600,393.62
2013-10-01,314.22,368.40,296.50,364.03,3467900,364.03
2013-09-03,284.73,320.57,284.17,312.64,2254600,312.64
2013-08-01,303.08,306.21,279.33,280.98,2059400,280.98
2013-07-01,279.00,313.62,277.16,301.22,3155800,301.22
2013-06-03,268.96,283.34,262.95,277.69,3088400,277.69
2013-05-01,253.90,271.91,245.75,269.20,2837400,269.20
2013-04-01,266.98,275.80,248.56,253.81,3689300,253.81
2013-03-01,263.27,277.40,252.07,266.49,3048900,266.49
2013-02-01,268.93,274.30,255.11,264.27,3754100,264.27
2013-01-02,256.08,284.72,253.26,265.50,4333200,265.50
2012-12-03,252.54,263.11,242.75,250.87,3214500,250.87
2012-11-01,234.23,252.65,218.18,252.05,3381400,252.05
2012-10-01,255.40,261.90,222.92,232.89,4112600,232.89
2012-09-04,248.27,264.11,244.66,254.32,3475100,254.32
2012-08-01,234.14,250.00,228.66,248.27,2762600,248.27
2012-07-02,229.30,240.74,212.61,233.30,3847300,233.30
2012-06-01,208.44,228.35,206.37,228.35,3302800,228.35
2012-05-01,229.40,232.97,207.11,212.91,4441700,212.91
2012-04-02,198.02,233.84,183.65,231.90,6014600,231.90
2012-03-01,179.89,209.85,176.58,202.51,5336900,202.51
2012-02-01,173.81,193.57,172.00,179.69,7594000,179.69
2012-01-03,175.89,196.50,173.50,194.44,6165400,194.44
2011-12-01,191.85,199.66,166.97,173.10,6184500,173.10
2011-11-01,208.11,222.35,181.51,192.29,6871600,192.29
2011-10-03,217.01,246.71,196.51,213.51,7931300,213.51
2011-09-01,215.28,244.00,204.47,216.23,7151100,216.23
2011-08-01,225.00,227.45,177.10,215.23,7069500,215.23
2011-07-01,205.55,227.20,203.61,222.52,4898800,222.52
2011-06-01,196.06,206.25,181.59,204.49,4545900,204.49
2011-05-02,196.57,206.39,190.88,196.69,5223000,196.69
2011-04-01,181.58,197.80,175.37,195.81,6169500,195.81
2011-03-01,173.53,181.57,160.59,180.13,5382800,180.13
2011-02-01,170.52,191.40,169.51,173.29,5397800,173.29
2011-01-03,181.37,191.60,166.90,169.64,6016400,169.64
2010-12-01,179.16,185.65,173.09,180.00,4414200,180.00
2010-11-01,164.45,181.84,156.77,175.40,6560600,175.40
2010-10-01,157.08,171.99,151.40,165.23,7042000,165.23
2010-09-01,126.36,161.78,126.17,157.06,6758400,157.06
2010-08-02,119.15,130.81,117.57,124.83,5347500,124.83
2010-07-01,108.90,124.88,105.80,117.89,8685800,117.89
2010-06-01,124.97,129.15,106.01,109.26,6505400,109.26
2010-05-03,137.20,139.44,117.52,125.46,7243200,125.46
2010-04-01,135.80,151.09,130.78,137.10,8530400,137.10
2010-03-01,118.70,138.19,117.53,135.77,7071400,135.77
2010-02-01,123.18,124.86,113.82,118.40,11361400,118.40
2010-01-04,136.25,136.61,118.12,125.41,13701700,125.41
2009-12-01,136.94,145.91,125.65,134.52,9636000,134.52
2009-11-02,118.66,136.08,116.25,135.91,8521200,135.91
2009-10-01,92.50,125.68,88.27,118.81,12814900,118.81
2009-09-01,80.74,94.50,77.51,93.36,6507600,93.36
2009-08-03,86.56,88.20,80.25,81.19,5613600,81.19
2009-07-01,84.42,94.40,75.41,85.76,8243100,85.76
2009-06-01,78.21,88.56,76.25,83.66,7275900,83.66
2009-05-01,80.38,83.60,73.10,77.99,7133700,77.99
2009-04-01,73.02,86.68,71.71,80.52,9217600,80.52
2009-03-02,63.94,75.61,59.82,73.44,10754100,73.44
2009-02-02,58.57,67.36,58.13,64.79,10435100,64.79
2009-01-02,51.35,59.74,47.63,58.82,12192700,58.82
2008-12-01,42.00,54.85,38.82,51.28,9726600,51.28
2008-11-03,56.35,58.73,34.68,42.70,12185900,42.70
2008-10-01,71.78,71.99,43.31,57.24,14809100,57.24
2008-09-02,83.16,86.77,61.32,72.76,9786200,72.76
2008-08-01,76.36,91.75,74.05,80.81,7322500,80.81
2008-07-01,72.24,82.38,62.99,76.34,10050600,76.34
2008-06-02,81.15,84.88,72.62,73.33,7619500,73.33
2008-05-01,78.40,84.75,71.56,81.62,7516300,81.62
2008-04-01,72.99,82.64,70.65,78.63,9351100,78.63
2008-03-03,63.59,76.93,61.20,71.30,9907700,71.30
2008-02-01,79.02,79.40,63.97,64.47,11144100,64.47
2008-01-02,95.35,97.43,68.84,77.70,15772400,77.70
2007-12-03,90.03,95.94,83.86,92.64,6640800,92.64
2007-11-01,87.75,91.47,76.50,90.56,8908400,90.56
2007-10-01,93.42,101.09,83.27,89.15,10392700,89.15
2007-09-04,79.90,94.26,79.73,93.15,6688700,93.15
2007-08-01,78.10,80.80,70.05,79.91,7898700,79.91
2007-07-02,68.81,89.00,68.01,78.54,13282400,78.54
2007-06-01,68.90,74.72,66.71,68.41,11624000,68.41
2007-05-01,61.12,73.31,59.70,69.14,15434200,69.14
2007-04-02,39.85,63.84,39.55,61.33,18513300,61.33
2007-03-01,39.32,40.24,37.04,39.79,6734000,39.79
2007-02-01,37.95,42.00,36.68,39.14,8719000,39.14
2007-01-03,38.68,39.14,36.30,37.67,6885600,37.67
2006-12-01,40.26,40.64,37.70,39.46,6261800,39.46
2006-11-01,38.13,43.25,36.87,40.34,7292700,40.34
2006-10-02,31.98,38.59,30.58,38.09,9804300,38.09
2006-09-01,30.85,32.81,29.68,32.12,7562200,32.12
2006-08-01,26.55,30.99,25.76,30.83,7179700,30.83
2006-07-03,38.52,38.62,25.96,26.89,11835000,26.89
2006-06-01,34.63,38.84,32.42,38.68,5468500,38.68
2006-05-01,35.19,36.50,31.52,34.61,6913300,34.61
2006-04-03,36.67,38.84,35.01,35.21,5802600,35.21
2006-03-01,37.45,37.83,35.14,36.53,5427700,36.53
2006-02-01,43.92,44.69,37.05,37.44,9194500,37.44
2006-01-03,47.47,48.58,43.10,44.82,6373300,44.82
2005-12-01,48.88,50.00,47.14,47.15,6027000,47.15
2005-11-01,39.97,49.43,39.65,48.46,10684800,48.46
2005-10-03,45.33,47.00,38.72,39.86,7321900,39.86
2005-09-01,42.52,45.84,40.50,45.30,5274100,45.30
2005-08-01,44.88,46.97,41.91,42.70,5135600,42.70
2005-07-01,33.24,45.81,32.79,45.15,9654600,45.15
2005-06-01,35.57,36.99,32.93,33.09,5088600,33.09
2005-05-02,32.30,36.04,32.10,35.51,5803700,35.51
2005-04-01,34.63,35.34,30.60,32.36,8238800,32.36
2005-03-01,35.06,36.43,32.82,34.27,5596400,34.27
2005-02-01,43.00,43.54,33.20,35.18,11951400,35.18
2005-01-03,44.95,45.44,40.26,43.22,10062700,43.22
2004-12-01,40.00,45.68,37.99,44.29,8218400,44.29
2004-11-01,34.22,41.50,34.15,39.68,8357300,39.68
2004-10-01,41.29,42.70,33.00,34.13,10240900,34.13
2004-09-01,38.23,44.28,37.36,40.86,8837600,40.86
2004-08-02,38.45,40.83,34.85,38.14,8462000,38.14
2004-07-01,53.80,54.04,37.38,38.92,9927000,38.92
2004-06-01,47.87,54.70,47.70,54.40,8007100,54.40
2004-05-03,43.48,48.68,40.55,48.50,8041200,48.50
2004-04-01,43.45,49.10,43.30,43.60,8213200,43.60
2004-03-01,43.02,45.06,39.15,43.28,6932400,43.28
2004-02-02,50.65,50.65,42.23,43.01,10153200,43.01
2004-01-02,52.76,57.82,48.60,50.40,11466900,50.40
