Date,Open,High,Low,Close,Volume,Adj Close
2013-12-02,131.67,140.43,125.15,140.25,3582300,136.93
2013-11-01,126.76,134.16,124.86,133.51,2392800,130.35
2013-10-01,119.69,126.38,116.65,125.85,2464400,122.27
2013-09-03,114.57,122.27,112.85,119.41,2766100,116.01
2013-08-01,118.38,119.26,112.36,113.58,2102400,110.35
2013-07-01,108.37,118.60,108.21,117.43,2509700,113.46
2013-06-03,110.70,113.25,107.15,109.35,2836200,105.66
2013-05-01,104.78,112.38,104.42,110.27,2978600,106.54
2013-04-01,106.00,108.72,102.89,104.71,3227200,100.60
2013-03-01,103.39,106.88,102.59,106.31,2620200,102.14
2013-02-01,101.44,104.56,100.58,104.00,2672300,99.92
2013-01-02,94.19,101.95,93.96,100.55,3160800,96.01
2012-12-03,91.41,94.14,89.60,92.85,2871500,88.66
2012-11-01,87.94,91.97,86.74,90.95,2883600,86.84
2012-10-01,92.90,95.46,87.41,87.60,3429300,83.09
2012-09-04,92.03,94.10,90.46,92.42,3558500,87.66
2012-08-01,91.65,94.30,89.23,92.60,2203600,87.84
2012-07-02,89.29,92.08,85.34,91.23,3226500,85.99
2012-06-01,83.05,89.60,81.99,89.60,3337800,84.45
2012-05-01,89.13,89.95,82.95,84.41,2889400,79.56
2012-04-02,88.79,89.75,84.44,89.36,2823200,83.65
2012-03-01,87.72,90.00,84.83,89.21,2859100,83.51
2012-02-01,87.52,88.46,86.69,87.60,2993300,82.00
2012-01-03,83.76,87.99,82.70,86.71,3691900,80.62
2011-12-01,81.25,82.80,77.51,81.73,3887300,75.99
2011-11-01,77.89,83.10,75.49,81.04,4934000,75.35
2011-10-03,71.13,82.40,68.63,79.02,5595400,72.96
2011-09-01,83.02,83.95,71.71,71.79,5880400,66.28
2011-08-01,87.98,88.17,76.50,82.98,6756600,76.61
2011-07-01,94.83,98.19,86.60,87.14,4573200,79.91
2011-06-01,94.33,95.06,90.19,94.85,3259800,86.98
2011-05-02,97.58,97.95,91.38,94.38,3303300,86.55
2011-04-01,93.53,97.50,90.58,97.21,3393400,88.63
2011-03-01,92.19,94.16,86.91,93.50,3651300,85.24
2011-02-01,88.02,93.65,87.44,92.23,3729800,84.09
2011-01-03,86.75,90.50,85.63,87.92,3744500,79.68
2010-12-01,85.42,87.82,83.23,86.30,3587700,78.21
2010-11-01,84.57,87.87,83.00,83.98,4228900,76.11
2010-10-01,87.38,91.49,83.80,84.22,4196300,75.85
2010-09-01,79.51,88.00,79.29,86.71,3223500,78.09
2010-08-02,86.80,88.38,78.40,78.55,3621600,70.74
2010-07-01,79.06,87.48,77.04,85.54,4490500,76.56
2010-06-01,78.72,83.00,72.72,78.99,5515900,70.69
2010-05-03,89.19,90.52,68.96,79.31,5802800,70.98
2010-04-01,83.87,90.25,82.69,88.67,4841300,78.86
2010-03-01,80.57,84.50,80.35,83.57,4147900,74.33
2010-02-01,80.84,81.76,77.25,80.15,4118100,71.28
2010-01-04,83.09,85.17,79.11,80.49,4187100,71.12
2009-12-01,77.85,84.32,76.00,82.67,3746200,73.05
2009-11-02,73.86,79.00,73.35,77.44,3184000,68.42
2009-10-01,73.56,79.25,71.62,73.57,3957000,64.58
2009-09-01,71.81,76.00,69.89,73.80,3671400,64.79
2009-08-03,71.80,73.50,69.26,72.10,4316700,63.29
2009-07-01,60.31,71.39,57.81,70.52,5153400,61.46
2009-06-01,57.90,61.46,56.61,60.10,4676800,52.38
2009-05-01,57.56,60.23,55.23,57.10,4657700,49.76
2009-04-01,48.95,58.98,48.72,57.60,5823900,49.76
2009-03-02,44.62,51.13,40.87,49.72,7465000,42.96
2009-02-02,52.79,54.66,45.17,45.46,7213200,39.28
2009-01-02,57.55,59.81,52.31,53.79,5562100,45.97
2008-12-01,64.95,66.25,53.59,57.54,6805300,49.18
2008-11-03,63.56,67.47,56.25,66.93,8049400,57.20
2008-10-01,67.67,68.31,50.01,64.30,10169400,54.51
2008-09-02,72.38,74.71,65.51,68.31,6956900,57.91
2008-08-01,70.53,74.68,69.35,71.60,3921800,60.70
2008-07-01,68.66,72.77,67.26,70.39,5267100,59.26
2008-06-02,77.41,77.61,68.61,69.59,4921700,58.58
2008-05-01,76.94,79.89,75.50,77.56,3805900,65.29
2008-04-01,79.61,83.22,76.46,76.90,4193300,64.32
2008-03-03,78.16,81.68,75.24,79.15,4393600,66.20
2008-02-01,79.79,81.65,77.82,78.40,3543700,65.58
2008-01-02,84.24,84.76,72.05,79.65,5503000,66.20
2007-12-03,83.43,88.70,81.60,84.32,3590800,70.09
2007-11-01,86.07,86.28,78.98,83.26,4998100,69.21
2007-10-01,93.84,97.00,84.08,86.36,4466500,71.36
2007-09-04,90.96,93.98,87.21,93.58,3632200,77.33
2007-08-01,88.94,91.51,83.21,90.99,4370500,75.19
2007-07-02,87.29,92.32,87.07,88.92,4023700,73.08
2007-06-01,87.95,88.49,84.40,86.79,3381000,71.33
2007-05-01,82.77,89.03,82.16,87.96,4132900,72.29
2007-04-02,76.44,83.25,75.91,82.77,4162400,67.64
2007-03-01,74.00,78.16,72.90,76.43,3947900,62.46
2007-02-01,74.75,77.43,73.52,74.08,4594900,60.54
2007-01-03,77.53,79.88,73.09,74.30,3954700,60.34
2006-12-01,81.55,81.55,77.35,77.93,3041500,63.29
2006-11-01,78.83,81.95,78.12,81.46,2460500,66.16
2006-10-02,74.70,80.88,73.00,78.84,2919700,63.67
2006-09-01,71.74,75.37,70.59,74.42,3326000,60.10
2006-08-01,70.00,72.00,68.18,71.70,3464900,57.90
2006-07-03,81.15,81.60,67.05,70.40,6512200,56.48
2006-06-01,83.66,85.23,78.61,80.77,2875600,64.80
2006-05-01,85.51,88.35,82.59,83.66,3192200,67.12
2006-04-03,75.97,85.90,75.76,85.43,4065900,68.18
2006-03-01,74.19,78.74,71.54,75.69,3158700,60.41
2006-02-01,72.30,74.66,70.30,73.59,3096800,58.73
2006-01-03,77.76,79.83,71.96,72.75,3414200,57.69
2005-12-01,78.77,79.84,73.47,77.50,2525400,61.46
2005-11-01,75.50,79.38,74.40,78.48,2959200,62.24
2005-10-03,73.26,76.48,69.71,75.98,3369400,59.94
2005-09-01,71.40,74.58,70.61,73.36,2941500,57.87
2005-08-01,75.10,75.49,70.41,71.15,3163800,56.13
2005-07-01,72.31,76.74,71.03,75.00,3810700,58.82
2005-06-01,76.78,78.55,72.25,72.30,3959300,56.70
2005-05-02,76.47,79.23,75.09,76.65,2813700,60.11
2005-04-01,86.00,86.21,74.95,76.47,3643200,59.64
2005-03-01,83.95,87.45,83.52,85.69,2632400,66.83
2005-02-01,84.35,86.98,82.95,83.94,2664800,65.47
2005-01-03,82.17,85.50,80.73,84.36,3838400,65.47
2004-12-01,79.50,83.03,78.13,82.07,3258400,63.69
2004-11-01,77.50,82.90,75.06,79.59,3486700,61.77
2004-10-01,80.00,81.97,73.31,77.57,3876000,59.93
2004-09-01,82.12,84.96,77.69,79.97,2979700,61.79
2004-08-02,82.30,83.85,77.20,82.36,2456600,63.63
2004-07-01,90.00,90.11,80.75,82.36,3169300,63.34
2004-06-01,84.13,90.29,84.01,90.01,2450900,69.23
2004-05-03,86.50,87.65,81.67,84.56,2626200,65.04
2004-04-01,81.87,88.70,80.90,86.48,3000900,66.22
2004-03-01,78.47,81.98,74.35,81.87,3393500,62.69
2004-02-02,78.89,81.46,77.57,78.02,2981300,59.75
2004-01-02,85.00,86.20,78.41,79.09,3921100,60.29
