Date,Open,High,Low,Close,Volume,Adj Close
2013-12-02,80.89,81.37,76.81,78.69,5790600,76.77
2013-11-01,76.97,81.35,76.59,81.01,5829500,78.57
2013-10-01,73.87,77.63,71.51,76.75,6765500,74.44
2013-09-03,73.48,76.73,72.19,73.96,6543100,71.74
2013-08-01,78.42,79.00,72.23,72.98,6359700,70.78
2013-07-01,74.99,78.69,74.09,77.94,5412100,75.14
2013-06-03,75.06,76.87,72.90,74.49,8857800,71.81
2013-05-01,77.85,79.96,74.82,74.84,7820000,72.15
2013-04-01,75.00,79.50,74.90,77.72,7865900,74.48
2013-03-01,70.78,75.11,70.78,74.83,7941200,71.71
2013-02-01,70.11,71.96,68.13,70.78,11807300,67.39
2013-01-02,68.93,70.44,67.72,69.95,7572500,66.60
2012-12-03,72.11,72.70,67.37,68.23,10272300,64.97
2012-11-01,75.13,75.16,67.65,72.02,9817700,68.20
2012-10-01,73.80,77.60,73.63,75.02,7209900,71.04
2012-09-04,72.77,75.19,72.57,73.80,6717100,69.88
2012-08-01,74.70,74.96,71.35,72.60,7369700,68.75
2012-07-02,69.60,75.24,69.15,74.43,10429000,70.10
2012-06-01,65.43,69.72,65.13,69.72,11425100,65.66
2012-05-01,58.95,66.66,58.27,65.82,11993700,61.99
2012-04-02,61.08,62.49,57.18,58.91,12963500,55.11
2012-03-01,59.36,61.50,58.64,61.20,8761900,57.25
2012-02-01,61.79,62.63,58.21,59.08,10539900,54.90
2012-01-03,59.97,62.00,58.37,61.36,8666900,57.02
2011-12-01,58.64,60.00,57.42,59.76,9441500,55.53
2011-11-01,55.82,59.40,55.68,58.90,11283700,54.39
2011-10-03,51.88,57.96,51.63,56.72,13252400,52.38
2011-09-01,53.20,53.55,49.94,51.90,13785000,47.93
2011-08-01,52.79,53.49,48.31,53.19,19032900,49.12
2011-07-01,53.19,54.81,52.67,52.71,10564800,48.33
2011-06-01,54.98,55.17,51.79,53.14,13297600,48.72
2011-05-02,55.08,56.47,54.19,55.22,9742800,50.63
2011-04-01,52.25,55.16,51.92,54.98,9390400,50.08
2011-03-01,52.16,53.88,50.97,52.05,12615000,47.41
2011-02-01,56.37,56.73,51.52,51.98,15512600,47.02
2011-01-03,54.23,57.90,53.54,56.07,13817200,50.71
2010-12-01,54.42,55.34,53.14,53.93,11512500,48.78
2010-11-01,54.05,55.72,53.43,54.09,12350400,48.65
2010-10-01,53.60,54.82,52.93,54.17,10308400,48.73
2010-09-01,50.49,54.39,50.46,53.52,10818300,48.14
2010-08-02,51.55,52.48,50.00,50.14,13541700,45.10
2010-07-01,48.10,51.81,47.77,51.19,13994800,45.78
2010-06-01,50.80,52.08,48.01,48.07,18588000,42.99
2010-05-03,53.88,54.95,50.00,50.56,20606900,45.22
2010-04-01,55.75,55.90,53.52,53.64,14249000,47.69
2010-03-01,54.04,56.27,53.15,55.60,12205700,49.44
2010-02-01,53.62,54.50,52.66,54.07,15497700,47.81
2010-01-04,53.74,55.20,52.51,53.43,16624800,47.24
2009-12-01,54.85,55.08,52.31,53.45,12474800,47.26
2009-11-02,49.81,55.09,49.52,54.55,15896900,47.99
2009-10-01,49.07,52.00,48.73,49.68,17802400,43.70
2009-09-01,50.81,52.10,48.73,49.09,18941100,43.18
2009-08-03,50.22,52.56,48.75,50.87,17214000,44.75
2009-07-01,48.55,50.43,47.35,49.88,17442300,43.64
2009-06-01,50.18,51.75,48.02,48.44,19751700,42.38
2009-05-01,50.50,51.38,48.12,49.74,19494400,43.52
2009-04-01,51.38,54.57,47.64,50.40,22551300,43.86
2009-03-02,48.81,53.00,47.00,52.10,25748800,45.34
2009-02-02,46.57,50.67,46.25,49.24,28273400,42.61
2009-01-02,55.98,57.51,46.92,47.12,26958000,40.77
2008-12-01,55.37,59.23,52.22,56.06,21967800,48.51
