Date,Open,High,Low,Close,Volume,Adj Close
2013-12-02,77.56,78.57,71.25,75.61,2617600,74.08
2013-11-01,67.61,78.68,67.51,77.68,3640200,76.10
2013-10-01,71.58,72.08,64.08,67.62,4792100,66.25
2013-09-03,70.74,73.76,68.78,71.39,2402600,69.58
2013-08-01,73.50,75.13,69.57,70.02,2351300,68.25
2013-07-01,69.60,74.02,69.26,72.92,2791400,71.07
2013-06-03,67.79,73.89,67.06,69.34,3256400,67.27
2013-05-01,67.79,70.93,67.25,67.75,2708700,65.73
2013-04-01,71.93,72.32,63.16,68.12,5172800,66.09
2013-03-01,64.89,72.21,64.35,71.94,3647700,69.44
2013-02-01,65.22,66.48,59.68,65.48,6448600,63.21
2013-01-02,67.50,68.45,63.18,64.94,5579000,62.69
2012-12-03,67.12,70.35,63.07,66.40,4891400,63.77
2012-11-01,70.08,74.75,66.73,67.08,4462800,64.42
2012-10-01,66.80,72.15,65.62,70.11,4199000,67.33
2012-09-04,63.48,69.21,62.75,66.34,3662800,63.39
2012-08-01,65.18,68.66,62.90,63.72,3197500,60.88
2012-07-02,64.27,67.50,61.05,64.84,5454300,61.95
2012-06-01,67.74,68.54,61.55,64.42,5402500,61.27
2012-05-01,73.02,74.33,67.23,70.36,3475600,66.92
2012-04-02,71.10,74.44,68.42,72.73,4165100,69.18
2012-03-01,66.23,71.79,65.08,71.18,2879800,67.42
2012-02-01,63.75,66.55,63.06,66.24,4484700,62.74
2012-01-03,59.61,64.20,58.40,63.33,3593700,59.99
2011-12-01,56.10,59.79,55.88,59.01,3377700,55.63
2011-11-01,52.51,56.50,52.16,56.04,3399400,52.83
2011-10-03,49.27,54.89,47.15,53.57,4997600,50.50
2011-09-01,54.33,55.70,48.38,49.39,5026800,46.30
2011-08-01,53.39,54.79,47.54,54.37,5737800,50.97
2011-07-01,55.29,57.75,51.89,52.82,4372500,49.52
2011-06-01,55.30,55.95,52.50,55.24,3461000,51.55
2011-05-02,53.79,56.98,53.02,55.32,3587400,51.63
2011-04-01,51.48,54.98,49.24,53.64,4118600,50.06
2011-03-01,50.58,53.19,48.91,51.38,3241100,47.71
2011-02-01,46.93,51.64,46.76,50.33,3460000,46.74
2011-01-03,49.30,49.98,46.27,46.76,3875000,43.42
2010-12-01,50.83,51.30,48.92,49.05,2654300,45.32
2010-11-01,49.90,52.47,48.64,50.08,3284200,46.27
2010-10-01,46.31,50.07,46.09,49.56,3680000,45.79
2010-09-01,42.00,46.91,41.94,46.06,4220500,42.33
2010-08-02,41.79,43.10,40.51,41.70,3442400,38.32
2010-07-01,38.95,42.56,38.25,41.30,4675500,37.96
2010-06-01,40.77,43.50,38.94,39.04,5110100,35.70
2010-05-03,42.63,43.22,37.54,40.95,4861900,37.45
2010-04-01,38.48,44.00,38.48,42.42,5484800,38.79
2010-03-01,33.77,38.86,33.61,38.33,4429500,34.87
2010-02-01,34.45,35.93,32.49,33.72,4553600,30.68
2010-01-04,35.12,36.32,34.05,34.21,3509200,31.12
2009-12-01,35.57,35.57,33.20,34.97,3865800,31.63
2009-11-02,33.26,36.20,32.78,35.27,4009800,31.90
2009-10-01,33.71,35.98,32.69,32.95,7066500,29.80
2009-09-01,34.24,34.93,32.50,33.76,5834800,30.35
2009-08-03,35.82,36.96,33.96,34.25,3933100,30.79
2009-07-01,34.74,36.65,33.19,35.46,6427200,31.88
2009-06-01,34.99,36.75,32.24,33.34,4327300,29.82
2009-05-01,33.38,35.67,31.54,34.63,5459500,30.97
2009-04-01,27.17,35.24,27.08,33.35,6088200,29.83
2009-03-02,25.72,29.88,23.37,27.48,5685100,24.42
2009-02-02,28.22,30.45,26.02,26.28,5591200,23.35
2009-01-02,31.82,33.44,27.62,28.62,4157900,25.43
2008-12-01,26.41,31.70,24.31,31.50,4153300,27.81
2008-11-03,29.01,30.74,21.50,26.94,5119800,23.79
2008-10-01,32.52,33.22,22.51,29.01,5991100,25.61
2008-09-02,35.99,40.25,31.38,32.61,4693000,28.60
2008-08-01,36.07,39.15,34.29,35.68,2699800,31.30
2008-07-01,34.76,36.60,33.00,35.82,5035000,31.42
2008-06-02,39.47,39.66,34.47,35.09,3995500,30.62
2008-05-01,40.01,41.59,38.09,39.70,3038200,34.64
2008-04-01,37.22,41.73,37.22,40.68,3374900,35.49
2008-03-03,34.34,38.44,33.70,37.21,4304100,32.34
2008-02-01,34.21,37.13,33.53,34.45,4825400,29.94
2008-01-02,38.32,39.10,30.99,34.16,6898400,29.69
2007-12-03,37.07,39.97,36.71,38.27,3203800,33.13
2007-11-01,40.14,40.27,36.41,37.15,3642400,32.16
2007-10-01,34.02,40.60,33.50,40.27,4392700,34.86
2007-09-04,32.68,34.99,31.25,33.83,2334100,29.17
2007-08-01,31.17,33.35,28.37,32.72,2837800,28.21
2007-07-02,32.87,35.05,31.71,32.04,3586800,27.62
2007-06-01,67.79,68.88,31.57,32.72,2945500,28.08
2007-05-01,61.50,69.00,61.50,67.72,2957800,29.06
2007-04-02,57.51,63.34,57.41,61.86,2427300,26.55
2007-03-01,56.67,59.56,55.01,57.76,3043100,24.79
2007-02-01,60.10,62.22,56.47,57.94,3307600,24.73
2007-01-03,58.75,60.38,57.40,60.01,2671900,25.62
2006-12-01,61.55,63.48,57.82,58.80,3852300,25.04
2006-11-01,59.83,63.68,57.77,61.19,2914500,26.05
2006-10-02,51.75,61.84,51.69,59.46,4223700,25.32
2006-09-01,49.10,53.81,48.36,52.05,2694700,22.10
2006-08-01,44.85,49.41,44.21,48.88,2897200,20.75
2006-07-03,50.40,51.24,44.55,45.00,4434400,19.11
2006-06-01,50.41,52.60,48.57,50.27,3028700,21.28
2006-05-01,51.68,54.16,50.21,50.40,2980200,21.34
2006-04-03,48.77,52.00,47.34,51.68,3612000,21.88
2006-03-01,47.70,50.90,46.97,48.86,3261000,20.63
2006-02-01,49.15,52.07,47.63,47.70,3077800,20.14
2006-01-03,47.09,50.39,46.30,49.47,3317900,20.89
2005-12-01,48.79,49.23,46.56,46.88,2695700,19.75
2005-11-01,50.87,52.24,46.61,48.79,4589500,20.56
2005-10-03,48.05,52.15,47.05,50.87,4671300,21.43
2005-09-01,47.22,51.00,45.99,48.41,3289500,20.35
2005-08-01,52.15,52.29,46.62,47.38,2378300,19.92
2005-07-01,52.08,53.46,48.60,52.35,2772900,22.01
2005-06-01,51.29,53.79,51.10,52.08,2644400,21.84
2005-05-02,46.96,52.00,46.80,51.29,2874900,21.51
2005-04-01,51.60,52.26,46.14,46.96,3650400,19.70
2005-03-01,48.77,53.56,48.69,51.81,3397300,21.69
2005-02-01,46.15,49.15,45.37,48.78,2700200,20.42
2005-01-03,47.18,47.37,44.74,46.35,2203200,19.40
2004-12-01,45.75,47.47,45.27,47.18,2585700,19.71
2004-11-01,43.43,46.17,43.24,45.40,2632400,18.96
2004-10-01,40.40,43.88,40.03,43.50,2718700,18.17
2004-09-01,39.86,41.00,39.32,40.66,2036000,16.94
2004-08-02,37.94,39.86,36.44,39.71,1774600,16.55
2004-07-01,37.10,39.53,35.75,38.39,2611800,16.00
2004-06-01,37.15,38.30,36.45,37.22,1903900,15.47
2004-05-03,38.57,39.39,35.04,37.50,2589900,15.58
2004-04-01,37.99,40.16,35.71,38.79,2941400,16.12
2004-03-01,36.50,39.02,36.50,37.99,2650200,15.79
2004-02-02,34.10,37.35,32.85,37.03,3442200,15.39
2004-01-02,34.39,35.78,32.13,33.91,3149400,14.09
